Cm0: 0  W0: [[0. 0. 0. 0. 0.]]
Cm71: 30  W71: [[ 25.        -32.8123677 -17.079809  -21.26172   -10.6781736]]
Cm72: 8  W72: [[ 24.        -30.1644677 -27.217209  -19.93072    -5.2074736]]
Cm73: 163  W73: [[ 25.        -29.2693477 -22.443409  -24.77382   -10.7983736]]
Cm74: 5  W74: [[ 24.        -29.7888477 -19.180109  -27.86332    -9.8134736]]
Cm75: 9  W75: [[ 25.        -32.9311477 -32.216609  -12.18602   -10.4751236]]
Cm76: 1  W76: [[ 24.        -33.4506477 -28.953309  -15.27552    -9.4902236]]
Cm77: 13  W77: [[ 25.        -31.9610477 -25.524509  -19.30642   -10.9161236]]
Cm78: 11  W78: [[ 26.        -29.9433477 -23.726309  -22.26452   -10.7062236]]
Cm79: 10  W79: [[ 25.        -30.2725877 -19.271109  -26.83632    -9.7174236]]
Cm80: 11  W80: [[ 26.        -33.6609877 -27.486109  -16.50482    -8.7355536]]
Cm81: 326  W81: [[ 27.        -32.4529877 -23.411709  -21.26832   -11.3484536]]
Cm82: 14  W82: [[ 28.        -30.2586877 -18.861409  -26.24432   -14.0738536]]
Cm83: 22  W83: [[ 27.        -29.4717877 -28.427709  -22.45762    -6.5704536]]
Cm84: 74  W84: [[ 28.        -27.7386877 -24.473309  -27.19882    -9.0721536]]
Cm85: 5  W85: [[ 27.        -28.2581877 -21.210009  -30.28832    -8.0872536]]
Cm86: 19  W86: [[ 28.        -31.8593877 -27.748909  -19.76492    -8.5769236]]
Cm87: 127  W87: [[ 29.        -29.8283877 -25.896909  -22.77702    -8.5739206]]
Cm88: 21  W88: [[ 30.        -28.2379877 -23.684809  -25.89532    -8.6911706]]
Cm89: 38  W89: [[ 29.        -28.5671877 -19.229609  -30.46712    -7.7023706]]
Cm90: 13  W90: [[ 30.        -29.2272677 -22.455609  -26.66132    -6.5187706]]
Cm91: 5  W91: [[ 29.        -29.7467377 -19.192309  -29.75082    -5.5338506]]
Cm92: 40  W92: [[ 30.        -33.3520377 -25.166309  -19.65922    -6.3623106]]
Cm93: 221  W93: [[ 31.        -32.2883377 -21.470609  -23.81862    -8.3002106]]
Cm94: 16  W94: [[ 32.        -30.2706377 -19.672409  -26.77672    -8.0903106]]
Cm95: 41  W95: [[ 33.        -31.6593377 -24.549709  -20.29932    -7.7485206]]
Cm96: 2  W96: [[ 32.        -32.1788377 -21.286409  -23.38882    -6.7636206]]
Cm97: 6  W97: [[ 33.        -29.7871377 -16.729909  -28.37762    -9.6623206]]
Cm98: 57  W98: [[ 34.        -33.5444377 -25.021509  -18.07442    -9.2817306]]
Cm99: 42  W99: [[ 33.        -34.0639377 -21.758209  -21.16392    -8.2968306]]
Cm100: 14  W100: [[ 34.        -31.8696377 -17.207909  -26.13992   -11.0222306]]
Cm101: 30  W101: [[ 33.        -29.2217377 -27.345309  -24.80892    -5.5515306]]
Cm102: 79  W102: [[ 34.        -27.1907377 -25.493309  -27.82102    -5.5485276]]
Cm103: 20  W103: [[ 33.        -27.7102077 -22.230009  -30.91052    -4.5636076]]
Cm104: 6  W104: [[ 34.        -32.2633077 -34.815409  -15.46882    -6.0619076]]
Cm105: 35  W105: [[ 33.        -32.9690077 -29.317309  -23.80562    -3.1904076]]
Cm106: 181  W106: [[ 32.        -33.8987077 -25.520209  -28.44852    -2.8947076]]
Cm107: 3  W107: [[ 31.        -34.2279477 -21.065009  -33.02032    -1.9059076]]
Cm108: 34  W108: [[ 32.        -36.4896477 -25.807809  -26.67142    -1.7942876]]
Cm109: 46  W109: [[ 31.        -37.0091477 -22.544509  -29.76092    -0.8093876]]
Cm110: 14  W110: [[ 32.        -40.6144477 -28.518509  -19.66932    -1.6378476]]
Cm111: 163  W111: [[ 33.        -38.8269477 -23.738509  -24.80552    -4.8740476]]
Cm112: 10  W112: [[ 34.        -37.3768477 -20.131809  -28.86122    -6.4706476]]
Cm113: 60  W113: [[ 35.        -38.7655477 -25.009109  -22.38382    -6.1288576]]
Cm114: 143  W114: [[ 36.        -36.7478477 -23.210909  -25.34192    -5.9189576]]
Cm115: 15  W115: [[ 35.        -37.2673177 -19.947609  -28.43142    -4.9340376]]
Cm116: 16  W116: [[ 36.        -40.4978177 -27.161109  -16.78812    -5.8801676]]
Cm117: 39  W117: [[ 37.        -38.7647177 -23.206709  -21.52932    -8.3818676]]
Cm118: 9  W118: [[ 38.        -36.5704177 -18.656409  -26.50532   -11.1072676]]
Cm119: 10  W119: [[ 39.        -39.8396177 -31.397009  -10.94802   -11.2490876]]
Cm120: 11  W120: [[ 38.        -41.4428177 -26.610709  -19.46732    -9.1287876]]
Cm121: 23  W121: [[ 37.        -41.9623177 -23.347409  -22.55682    -8.1438876]]
Cm122: 49  W122: [[ 38.        -40.3719177 -21.135309  -25.67512    -8.2611376]]
Cm123: 18  W123: [[ 37.        -39.5850177 -30.701609  -21.88842    -0.7577376]]
Cm124: 29  W124: [[ 38.        -38.2667177 -28.799909  -25.19952    -0.6926666]]
Cm125: 169  W125: [[ 39.        -37.0095177 -23.926809  -30.48562    -6.5667666]]
Cm126: 22  W126: [[ 38.        -37.3387177 -19.471609  -35.05742    -5.5779666]]
Cm127: 6  W127: [[ 37.        -34.6908177 -29.609009  -33.72642    -0.1072666]]
Cm128: 13  W128: [[ 38.        -38.0490177 -36.849409  -22.28452    -0.6783966]]
Cm129: 37  W129: [[ 37.        -39.1922177 -33.108109  -27.86222    -0.0426166]]
Cm130: 51  W130: [[ 38.        -44.2223177 -25.604909  -27.99618    -7.5460166]]
Cm131: 80  W131: [[ 37.        -44.7418177 -22.341609  -31.08568    -6.5611166]]
Cm132: 1  W132: [[ 38.        -42.7108177 -20.489609  -34.09778    -6.5581136]]
Cm133: 3  W133: [[ 39.        -47.0881177 -26.006309  -23.15878    -6.9663136]]
Cm134: 3  W134: [[ 38.        -47.6076177 -22.743009  -26.24828    -5.9814136]]
Cm135: 15  W135: [[ 39.        -45.2159177 -18.186509  -31.23708    -8.8801136]]
Cm136: 80  W136: [[ 40.        -48.9120177 -31.864409  -13.65758   -11.4982136]]
Cm137: 14  W137: [[ 41.        -47.4043177 -29.904809  -16.71598   -11.6206436]]
Cm138: 93  W138: [[ 40.        -48.8522177 -25.025409  -25.05878    -9.5120436]]
Cm139: 175  W139: [[ 41.        -47.3626177 -21.596609  -29.08968   -10.9379436]]
Cm140: 37  W140: [[ 40.        -47.6129677 -30.922809  -25.40238    -4.6836436]]
Cm141: 71  W141: [[ 39.        -48.1324677 -27.659509  -28.49188    -3.6987436]]
Cm142: 4  W142: [[ 40.        -46.1147677 -25.861309  -31.44998    -3.4888436]]
Cm143: 29  W143: [[ 39.        -46.6342677 -22.598009  -34.53948    -2.5039436]]
Cm144: 15  W144: [[ 40.        -50.2258677 -28.826509  -24.30058    -3.6582436]]
Cm145: 5  W145: [[ 39.        -50.7453377 -25.563209  -27.39008    -2.6733236]]
Cm146: 2  W146: [[ 38.        -51.0745377 -21.108009  -31.96188    -1.6845236]]
Cm147: 6  W147: [[ 39.        -54.8248377 -34.566609  -14.36868    -4.4616236]]
Cm148: 3  W148: [[ 38.        -56.2727377 -29.687209  -22.71148    -2.3530236]]
Cm149: 21  W149: [[ 39.        -54.9209377 -28.627709  -25.05518    -1.9530436]]
Cm150: 11  W150: [[ 38.        -55.2501777 -24.172509  -29.62698    -0.9642436]]
Cm151: 9  W151: [[ 39.        -53.6597777 -21.960409  -32.74528    -1.0814936]]
Cm152: 12  W152: [[ 40.        -51.2680777 -17.403909  -37.73408    -3.9801936]]
Cm153: 190  W153: [[ 39.        -49.9680777 -27.671709  -34.78108     1.8836064]]
Cm154: 30  W154: [[ 40.        -47.7737777 -23.121409  -39.75708    -0.8417936]]
Cm155: 136  W155: [[ 41.        -51.7910777 -31.433709  -27.30238    -2.2792936]]
Cm156: 8  W156: [[ 42.        -50.2833777 -29.474109  -30.36078    -2.4017236]]
Cm157: 1  W157: [[ 43.        -48.4958777 -24.694109  -35.49698    -5.6379236]]
Cm158: 3  W158: [[ 44.        -51.8540777 -31.934509  -24.05508    -6.2090536]]
Cm159: 345  W159: [[ 45.        -50.1741777 -27.727709  -28.59488    -8.6021536]]
Cm160: 35  W160: [[ 46.        -48.3866777 -22.947709  -33.73108   -11.8383536]]
Cm161: 1  W161: [[ 45.        -48.9061777 -19.684409  -36.82058   -10.8534536]]
Cm162: 22  W162: [[ 46.        -49.5638477 -22.486209  -33.10908    -9.8560636]]
Cm163: 26  W163: [[ 47.        -51.5704477 -29.205209  -24.09288    -9.7560786]]
Cm164: 20  W164: [[ 46.        -51.8996877 -24.750009  -28.66468    -8.7672786]]
Cm165: 62  W165: [[ 45.        -52.4191877 -21.486709  -31.75418    -7.7823786]]
Cm166: 25  W166: [[ 46.        -56.0176877 -35.146009  -14.14898   -10.2750786]]
Cm167: 25  W167: [[ 45.        -58.1792877 -28.265609  -22.30068   -10.1940306]]
Cm168: 31  W168: [[ 44.        -58.6987877 -25.002309  -25.39018    -9.2091306]]
Cm169: 2  W169: [[ 45.        -57.0188877 -20.795509  -29.92998   -11.6022306]]
Cm170: 13  W170: [[ 44.        -55.0521877 -32.600709  -29.52526    -3.7303306]]
Cm171: 47  W171: [[ 45.        -53.9884877 -28.905009  -33.68466    -5.6682306]]
Cm172: 89  W172: [[ 46.        -51.9707877 -27.106809  -36.64276    -5.4583306]]
Cm173: 1  W173: [[ 47.        -54.8098877 -33.736809  -26.15786    -5.8794606]]
Cm174: 26  W174: [[ 48.        -53.5819877 -29.705909  -30.80136    -9.7919606]]
Cm175: 13  W175: [[ 49.        -51.3876877 -25.155609  -35.77736   -12.5173606]]
Cm176: 13  W176: [[ 48.        -50.6007877 -34.721909  -31.99066    -5.0139606]]
Cm177: 446  W177: [[ 49.        -49.1506877 -31.115209  -36.04636    -6.6105606]]
Cm178: 68  W178: [[ 48.        -49.4798877 -26.660009  -40.61816    -5.6217606]]
